method,degree,cycle,dofs,cells,levels,converged,iterations,rate,residual,t_setup,t_assemble,t_pc_setup,t_solve,t_total,algebraic_mb,rss_growth_mb,peak_rss_mb,h1_error,l2_error,linf_error
cg-jacobi,3,0,144,16,1,yes,15,0.1091919714,3.739905307e-15,0.034127724,0.103027982,0.000757135,0.04173637,0.272696398,0.05227375031,7.90234375,216.015625,0.05856167153,0.01616796851,0.005416547414
cg-jacobi,3,1,576,64,2,yes,42,0.5746089635,7.827816728e-11,0.015633655,0.055108119,6.8758e-05,0.03688216,0.251535898,0.2025794983,25.67578125,233.7890625,0.008054036647,0.001114370301,0.0004698007251
cg-jacobi,3,2,2304,256,3,yes,86,0.7639154428,8.747720513e-11,0.014252021,0.165228205,4.4692e-05,0.237949293,0.835121448,0.8001890182,26.5703125,234.6835938,0.001034533605,7.224825094e-05,3.394182932e-05
cg-jacobi,3,3,9216,1024,4,yes,170,0.8724220739,8.385514959e-11,0.047001925,0.7755079,5.2029e-05,1.038908042,3.409755648,3.186166763,30.82421875,238.9375,0.0001302128367,4.567159976e-06,2.174706196e-06
cg-jacobi,3,4,36864,4096,5,yes,338,0.9339295445,9.250615847e-11,0.216759923,2.623318307,9.2754e-05,6.303177741,14.80501328,12.72726536,51.31640625,259.4296875,1.630471525e-05,2.863196471e-07,1.374726395e-07
cg-jacobi,3,5,147456,16384,6,yes,673,0.9662231113,9.059505973e-11,0.972346653,11.20193994,9.49e-05,33.95139599,67.49784929,50.88610077,128.109375,336.2226562,2.038968432e-06,1.790889748e-08,8.606064306e-09
cg-jacobi,3,6,589824,65536,7,no,1000,0.9839775731,9.664960197e-08,3.048103808,44.16625507,0.000106434,179.0847315,309.1697724,203.5180807,430.515625,638.6289062,2.569606181e-07,8.550617991e-09,3.115377512e-09
cg-ssor,3,0,144,16,1,yes,22,0.343386785,6.126870611e-11,0.033939221,0.125285429,0.001571951,0.049764072,0.298746701,0.05227375031,5.734375,214.3476562,0.05856167153,0.01616796851,0.005416547414
cg-ssor,3,1,576,64,2,yes,41,0.56980786,9.657525453e-11,0.026610631,0.121802474,0.000129779,0.103408992,0.416267784,0.2025794983,23.44921875,232.0625,0.008054036647,0.001114370301,0.0004698007251
cg-ssor,3,2,2304,256,3,yes,78,0.7405518896,6.688497428e-11,0.022261247,0.219104056,0.000350886,0.418734626,1.043833712,0.8001890182,24.28125,232.8945312,0.001034533605,7.224825094e-05,3.394184023e-05
cg-ssor,3,3,9216,1024,4,yes,136,0.8441570669,9.852885501e-11,0.054656638,0.723572552,0.000970092,2.041215757,4.182711692,3.186166763,29.015625,237.6289062,0.0001302128367,4.567159976e-06,2.174745077e-06
cg-ssor,3,4,36864,4096,5,yes,260,0.9145865179,8.287942349e-11,0.184765045,2.855803723,0.003371127,14.18084347,22.39925481,12.72726536,51.6171875,260.2304688,1.630471525e-05,2.863196471e-07,1.374863672e-07
cg-ssor,3,5,147456,16384,6,yes,508,0.9556677898,9.90672049e-11,0.776574881,10.83381742,0.012985986,101.6306374,134.2292338,50.88610077,127.828125,336.4414062,2.038968432e-06,1.790891346e-08,8.609846169e-09
