family,method,metric,n,mean,median,p95,p99,worst,best,frac_above_1,mean_squared_ratio,seconds_per_sample
gaussian,jacobi,full,24,0.5380149968678034,0.5377470330401207,0.5624566074292601,0.5716048912997036,0.5738063850947003,0.5121968693528157,0.0,0.2896866592842811,5.570832096661131e-06
gaussian,jacobi,complement,24,0.4882985058661517,0.48861716542479783,0.5121091916718153,0.5222990828258387,0.525174130420881,0.4569121797786619,0.0,0.23870628883595954,5.570832096661131e-06
gaussian,gs,full,24,0.44057030937103364,0.440052559202483,0.44991367858058207,0.4540151092206289,0.4551738175430187,0.4265928144298148,0.0,0.19414014607089994,0.0007337249990087003
gaussian,gs,complement,24,0.36178426806674785,0.3613484831521023,0.3740432789021038,0.3782176381867197,0.3792851026349776,0.34803996140561977,0.0,0.13095048955852104,0.0007337249990087003
gaussian,sgs_ssor,full,24,0.25090397060460884,0.2506948446880747,0.2593118570599656,0.2606244610394296,0.2609538400879761,0.23764139830198708,0.0,0.06297793373199495,0.001826179165315504
gaussian,sgs_ssor,complement,24,0.23106088990052628,0.2302623578247563,0.23946388321110873,0.24027626509092778,0.2403859786041936,0.22052121630886873,0.0,0.05340894363497356,0.001826179165315504
gaussian,deeponet_baseline,full,24,0.42518768822068603,0.4262189988382678,0.44258039744265304,0.44505071492153586,0.44563132275536366,0.4071311615511379,0.0,0.18088855469172369,0.00021592500464369854
gaussian,deeponet_baseline,complement,24,0.39272300418895273,0.3927529540879978,0.41022240743919697,0.41666147745418586,0.41847911450882236,0.37210259218175784,0.0,0.15437891300091497,0.00021592500464369854
gaussian,deeponet_corrected,full,24,0.4256458724314222,0.4259137067778441,0.4409094592734708,0.4440135508345631,0.444886954591872,0.40725354403768554,0.0,0.181281113781568,0.0002690125014244889
gaussian,deeponet_corrected,complement,24,0.3924800468750931,0.39147145281813434,0.40825796835744976,0.41544769148658584,0.417538071144526,0.3709591459740786,0.0,0.1541921042329,0.0002690125014244889
fourier,jacobi,full,24,0.4732824099201531,0.4758624342741524,0.6676090840578802,0.7016767594701254,0.7098493606401133,0.29320448054832865,0.0,0.24177685993758782,1.0108332692955932e-05
fourier,jacobi,complement,24,0.42538021225778255,0.4274961564647447,0.5946982931275152,0.6753079277777608,0.6991057952898695,0.1588588146830849,0.0,0.19985099856657973,1.0108332692955932e-05
fourier,gs,full,24,0.42392464867385593,0.4385797774098193,0.5116032766993248,0.547616275100253,0.5578083788126194,0.24036690684231007,0.0,0.184745751018108,0.0007793708355166018
fourier,gs,complement,24,0.33794969860770774,0.33143478850256325,0.4954282931586972,0.5269432614829895,0.5325972974028286,0.17851009493570044,0.0,0.12033616769100736,0.0007793708355166018
fourier,sgs_ssor,full,24,0.24053662871659143,0.24458582795643882,0.3183428732837525,0.3277628000076074,0.3303153122610742,0.11470424222809356,0.0,0.06057983206298631,0.0016243333326807867
fourier,sgs_ssor,complement,24,0.2219915036156895,0.23023761666512182,0.30804206050264515,0.320270977594883,0.3233682778355286,0.10855241329352756,0.0,0.05194763092203133,0.0016243333326807867
fourier,deeponet_baseline,full,24,0.46180711923972373,0.45227979400939666,0.6988248017767104,0.7202042441054639,0.7263917588732361,0.21379851442980638,0.0,0.2328985459102754,0.00018251666915602982
fourier,deeponet_baseline,complement,24,0.42801240258376455,0.4344369174434647,0.6979978250162889,0.7158959236332441,0.7210803153832487,0.11965823272831552,0.0,0.21100947248486088,0.00018251666915602982
fourier,deeponet_corrected,full,24,0.46099505299649185,0.4517255975849461,0.6963024981468486,0.7187274385433662,0.7252279506439836,0.2096585007315481,0.0,0.23169740681901008,0.00019422916617865363
fourier,deeponet_corrected,complement,24,0.4266308928820586,0.43347683959559147,0.6954693847328531,0.7143663223723745,0.7198498744490915,0.12264042022234961,0.0,0.20933330950624895,0.00019422916617865363
weak,jacobi,full,24,0.9611737461489822,0.9835575375170648,0.993492138029257,0.9935855839680263,0.993613496391295,0.8217163372568992,0.0,0.9259684788140357,7.116667499455313e-06
weak,jacobi,complement,24,0.9609468185392366,0.9835517158349808,0.9934921355358438,0.9935855833945411,0.9936134963912948,0.8184271314185819,0.0,0.9255878388018105,7.116667499455313e-06
weak,gs,full,24,0.9164169308329407,0.9585595664741682,0.9824172438969383,0.9826225673641927,0.9826827438244803,0.7011851686096813,0.0,0.846943145156365,0.000906595834142839
weak,gs,complement,24,0.9159774678477214,0.9584938504235382,0.9823910737023791,0.9825953356324472,0.9826552149286067,0.6992300928576757,0.0,0.8462791670699094,0.000906595834142839
weak,sgs_ssor,full,24,0.8501482312096917,0.9204492151486038,0.9654541348603243,0.965847493576691,0.9659627251094312,0.5033197762409523,0.0,0.7426698768395315,0.0018834791650685172
weak,sgs_ssor,complement,24,0.8495395774058553,0.9203348785522347,0.965445099036258,0.9658374817927395,0.9659523858835642,0.49994409628613673,0.0,0.7419268616044187,0.0018834791650685172
weak,deeponet_baseline,full,24,0.9554298076292316,0.9762916116585695,0.9959739573240598,0.9961519585598803,0.9961729761614719,0.8172873498095103,0.0,0.9156261088148567,0.00021037916303612292
weak,deeponet_baseline,complement,24,0.9514105392069547,0.9751470662520749,0.9959358406852759,0.9961104463843797,0.9961257882832563,0.7738482785307531,0.0,0.9091079293146361,0.00021037916303612292
weak,deeponet_corrected,full,24,0.9548719309768497,0.974108286087757,0.9957251534817196,0.9961092412140997,0.9961480329611089,0.8181739841903245,0.0,0.9145383540659026,0.0002266166702611372
weak,deeponet_corrected,complement,24,0.9515016677813604,0.9734308004404376,0.995662959014364,0.9960580547047612,0.9960890329453587,0.7816366916194163,0.0,0.9090547327118662,0.0002266166702611372
survivor,jacobi,full,24,0.8594758252237439,0.8904081428572755,0.9638314093918442,0.972338301019557,0.9746302762843323,0.6639522222097072,0.0,0.748353355474818,7.866668359686932e-06
survivor,jacobi,complement,24,0.84055544391973,0.8752892617436712,0.9634224430097186,0.971354072922889,0.9734767995337494,0.6287735498555009,0.0,0.7188056910469669,7.866668359686932e-06
survivor,gs,full,24,0.688836225803084,0.577928449188373,0.9239714625493437,0.9473686510385445,0.9537554078876648,0.5210292903593997,0.0,0.5043830168775653,0.0008598833373980597
survivor,gs,complement,24,0.6610195803648478,0.5298587423984062,0.9232185154094819,0.9456060087224856,0.9516906865212763,0.45895429750716743,0.0,0.47358848307349,0.0008598833373980597
survivor,sgs_ssor,full,24,0.5510555708888702,0.4050245655894136,0.868428817146709,0.9071809295476682,0.9179011134920226,0.31839990931675877,0.0,0.35752889329167353,0.0019535916653694585
survivor,sgs_ssor,complement,24,0.5412437279226947,0.3984943689342001,0.8674833198911579,0.9064088466089221,0.9170591448860242,0.30284850714709377,0.0,0.34996765096622223,0.0019535916653694585
survivor,deeponet_baseline,full,24,0.6953551079773922,0.6147191702433339,0.9640399828981893,0.9687748131252426,0.9689770755998688,0.4581511757962275,0.0,0.5248506977631551,0.0002327250015999501
survivor,deeponet_baseline,complement,24,0.6802338021555457,0.5951925580618185,0.9530525593841171,0.965009551469186,0.967850914129194,0.4236830337037135,0.0,0.5080079261359588,0.0002327250015999501
survivor,deeponet_corrected,full,24,0.6973093852806199,0.6150961050987334,0.9590384328606842,0.9673067168477099,0.9688140427082107,0.4646074332950076,0.0,0.5264219415051459,0.00023359583671359965
survivor,deeponet_corrected,complement,24,0.6821196150201905,0.5950409539124464,0.9491427023814999,0.9638588827393761,0.9677135962396793,0.4301769534054112,0.0,0.5094461484959657,0.00023359583671359965
stress,jacobi,full,23,0.8204568813550578,0.9207013559054557,0.9934556828419315,0.9935867975516469,0.9936134963912954,0.31479897989947214,0.0,0.7233831908604733,6.113044472168321e-06
stress,jacobi,complement,23,0.7718787527465502,0.9108361753515086,0.9934556766424011,0.9935867970030957,0.9936134963912948,0.02251504770112149,0.0,0.6773146042189321,6.113044472168321e-06
stress,gs,full,23,0.7235655002926239,0.7488517888044831,0.9823175912507024,0.9826167631553854,0.9826827438244814,0.385393288656885,0.0,0.5712447181137797,0.000991204348595246
stress,gs,complement,23,0.6642290291390874,0.7475748512497432,0.9822925733843278,0.9825896995089647,0.9826552149286054,0.27909864120332445,0.0,0.5205773719132606,0.000991204348595246
stress,sgs_ssor,full,23,0.6087660405930141,0.5743776003288973,0.9652715121917675,0.965837569092329,0.9659627251094315,0.20318325648024624,0.0,0.4523934307176679,0.002091943478697668
stress,sgs_ssor,complement,23,0.5886378101713912,0.5720240513746859,0.965259039007685,0.9658267739892503,0.9659523858835636,0.16944475005841916,0.0,0.44021194617375864,0.002091943478697668
stress,deeponet_baseline,full,23,0.6809362966249152,0.8640824106149125,0.994760846148713,0.9952203786103183,0.995340951621582,0.09334977806939554,0.0,0.5597052030720162,0.00030042173887562495
stress,deeponet_baseline,complement,23,0.6382065726526774,0.8627883813409356,0.9947509072859756,0.995137443385023,0.9952374597762867,0.059046835598048866,0.0,0.5354807249622432,0.00030042173887562495
stress,deeponet_corrected,full,23,0.6819680690196805,0.864046097838871,0.9938330733183743,0.9945289794323164,0.9947181269840971,0.09557416717898229,0.0,0.5599434903661955,0.00029575217353261036
stress,deeponet_corrected,complement,23,0.6383322197947312,0.8627286986644979,0.9938022267725841,0.994512990810355,0.9947002500472325,0.06028050665078796,0.0,0.5353077186751938,0.00029575217353261036
