rank,test_index,mechanism,rho_jacobi,rho_gs,rho_sgs_ssor,rho_deeponet_plain,rho_deeponet_skip,rho_deeponet_skip_fourier
0,9,smooth,0.5109096088,0.3478504076,0.2013950969,0.9970110825,0.4595955951,0.2562659784
1,23,smooth,0.5116261453,0.3537104556,0.2080522113,0.9949299682,0.4375871497,0.2814138836
2,35,multiscale,0.5105413794,0.3463419183,0.1766365378,0.987251071,0.4608378101,0.3544425798
3,49,multiscale,0.6321718422,0.4089577104,0.2397987555,0.9919097298,0.5881659472,0.4799654541
4,50,multiscale,0.5201635591,0.4021109434,0.2294618623,0.9256205987,0.4778235808,0.3353206239
5,56,multiscale,0.627459993,0.4188221218,0.2561664768,1.00032379,0.5746865507,0.4096451106
6,59,multiscale,0.5128981535,0.346342503,0.16797569,0.9898856939,0.4623873094,0.3535702819
7,61,multiscale,0.6772936134,0.4313244547,0.2501348829,1.00036722,0.640683166,0.532606597
8,73,multiscale,0.5344220915,0.3628955886,0.1871785349,0.9862826142,0.4917539016,0.3491605622
9,75,multiscale,0.5933077674,0.4065325568,0.2390383415,0.9720929976,0.5244179025,0.3492108253
10,88,multiscale,0.6212437611,0.3821338514,0.2114897819,0.9993422557,0.5556003815,0.4350099909
11,109,localized,0.5783096218,0.4899166334,0.2743043108,0.9105920126,0.5674183838,0.4725545546
12,110,localized,0.5991083819,0.474988454,0.2651188132,0.857221111,0.5846741016,0.4145295411
13,117,localized,0.5379160132,0.5103784985,0.3294536379,0.5131358947,0.3757908029,0.2257484694
14,125,localized,0.5285906899,0.4881425975,0.3066264583,0.5656230775,0.3785985286,0.2452066991
15,213,mixed,0.5222923556,0.3603295836,0.1835838909,0.9753821249,0.4753789489,0.3464376522
16,215,mixed,0.5544419435,0.3789475306,0.2070294479,0.9363044088,0.5158141222,0.4326342316
17,216,mixed,0.5365448715,0.3469258562,0.181784289,0.9868828475,0.4884066316,0.3422196341
18,222,mixed,0.5266883483,0.3691254464,0.1872894441,0.9845355372,0.4795273148,0.3962260095
19,245,mixed,0.5474074744,0.372473859,0.1955308021,0.9780091946,0.5062019039,0.3992030767
