epsilon,cycle,dofs,h1_error,l2_error,linf_error,h1_rate,l2_rate
1e-01,0.0,16.0,3.121538162,1.792448997,0.5960301757,,
1e-01,1.0,64.0,1.433414817,0.4526206255,0.1492049992,1.1228,1.9856
1e-01,2.0,256.0,0.6482961774,0.1162646562,0.04657548666,1.1447,1.9609
1e-01,3.0,1024.0,0.3138240874,0.02935298532,0.01253043208,1.0467,1.9858
1e-01,4.0,4096.0,0.1555821151,0.007358883973,0.003162593348,1.0123,1.9959
1e-01,5.0,16384.0,0.07762259245,0.001841031015,0.0007927626721,1.0031,1.9990
1e-02,0.0,16.0,3.26234746,1.736836672,0.5927350521,,
1e-02,1.0,64.0,1.523200274,0.4464696646,0.1516425312,1.0988,1.9598
1e-02,2.0,256.0,0.6710247993,0.1163709164,0.04708962888,1.1827,1.9398
1e-02,3.0,1024.0,0.3170308471,0.02945340797,0.01274203323,1.0817,1.9822
1e-02,4.0,4096.0,0.1559679359,0.007390745915,0.003218586091,1.0234,1.9946
1e-02,5.0,16384.0,0.07767073065,0.001849929919,0.000806770171,1.0058,1.9982
1e-03,0.0,16.0,3.279000044,1.731158018,0.5923595428,,
1e-03,1.0,64.0,1.537404895,0.4470742047,0.1521268785,1.0928,1.9532
1e-03,2.0,256.0,0.6772021055,0.1172340438,0.04731914774,1.1828,1.9311
1e-03,3.0,1024.0,0.3187992275,0.0297902599,0.01280110236,1.0869,1.9765
1e-03,4.0,4096.0,0.1562674642,0.00747964764,0.003232305637,1.0286,1.9938
1e-03,5.0,16384.0,0.07770718634,0.001871941495,0.0008102685097,1.0079,1.9984
1e-04,0.0,16.0,3.2806952,1.730589867,0.5923214555,,
1e-04,1.0,64.0,1.538908482,0.4471557736,0.152178973,1.0921,1.9524
1e-04,2.0,256.0,0.6779326797,0.1173432395,0.04734618962,1.1827,1.9300
1e-04,3.0,1024.0,0.3190927207,0.02984212711,0.01280845888,1.0872,1.9753
1e-04,4.0,4096.0,0.1563635468,0.007497290149,0.003234183416,1.0291,1.9929
1e-04,5.0,16384.0,0.07772922516,0.001876786468,0.0008107718313,1.0084,1.9981
