epsilon,tag,section,method,statistic,value
0.1,1e-01,rho_F,jacobi,n,256
0.1,1e-01,rho_F,jacobi,mean,0.4186548032526376
0.1,1e-01,rho_F,jacobi,median,0.3980817499918401
0.1,1e-01,rho_F,jacobi,std,0.06475077315526852
0.1,1e-01,rho_F,jacobi,p95,0.530457977735717
0.1,1e-01,rho_F,jacobi,max,0.695329846987869
0.1,1e-01,rho_F,jacobi,frac_gt_1,0.0
0.1,1e-01,rho_F,jacobi,mean_energy,0.17944812932233395
0.1,1e-01,rho_F,gs,n,256
0.1,1e-01,rho_F,gs,mean,0.35247224374904795
0.1,1e-01,rho_F,gs,median,0.33896846758668864
0.1,1e-01,rho_F,gs,std,0.05097578832403391
0.1,1e-01,rho_F,gs,p95,0.44296745836557905
0.1,1e-01,rho_F,gs,max,0.5121500848949122
0.1,1e-01,rho_F,gs,frac_gt_1,0.0
0.1,1e-01,rho_F,gs,mean_energy,0.12682506309704478
0.1,1e-01,rho_F,sgs_ssor,n,256
0.1,1e-01,rho_F,sgs_ssor,mean,0.17566682864743893
0.1,1e-01,rho_F,sgs_ssor,median,0.16677232273293635
0.1,1e-01,rho_F,sgs_ssor,std,0.038587258901599905
0.1,1e-01,rho_F,sgs_ssor,p95,0.23980297682574955
0.1,1e-01,rho_F,sgs_ssor,max,0.33050877604100287
0.1,1e-01,rho_F,sgs_ssor,frac_gt_1,0.0
0.1,1e-01,rho_F,sgs_ssor,mean_energy,0.03234199492194115
0.1,1e-01,rho_F,deeponet_plain,n,256
0.1,1e-01,rho_F,deeponet_plain,mean,0.8994180447418799
0.1,1e-01,rho_F,deeponet_plain,median,0.9384520684414617
0.1,1e-01,rho_F,deeponet_plain,std,0.10635720014555572
0.1,1e-01,rho_F,deeponet_plain,p95,0.998600685669036
0.1,1e-01,rho_F,deeponet_plain,max,1.0015640600302425
0.1,1e-01,rho_F,deeponet_plain,frac_gt_1,0.03515625
0.1,1e-01,rho_F,deeponet_plain,mean_energy,0.8202204863003315
0.1,1e-01,rho_F,deeponet_skip,n,256
0.1,1e-01,rho_F,deeponet_skip,mean,0.37148809794098137
0.1,1e-01,rho_F,deeponet_skip,median,0.36158947969785593
0.1,1e-01,rho_F,deeponet_skip,std,0.06749054897396461
0.1,1e-01,rho_F,deeponet_skip,p95,0.49003887527508655
0.1,1e-01,rho_F,deeponet_skip,max,0.664637176461747
0.1,1e-01,rho_F,deeponet_skip,frac_gt_1,0.0
0.1,1e-01,rho_F,deeponet_skip,mean_energy,0.14254058824464338
0.1,1e-01,rho_F,deeponet_skip_fourier,n,256
0.1,1e-01,rho_F,deeponet_skip_fourier,mean,0.3100085673734265
0.1,1e-01,rho_F,deeponet_skip_fourier,median,0.313277124208759
0.1,1e-01,rho_F,deeponet_skip_fourier,std,0.061395112276277024
0.1,1e-01,rho_F,deeponet_skip_fourier,p95,0.4060428467575359
0.1,1e-01,rho_F,deeponet_skip_fourier,max,0.5804181145029136
0.1,1e-01,rho_F,deeponet_skip_fourier,frac_gt_1,0.0
0.1,1e-01,rho_F,deeponet_skip_fourier,mean_energy,0.09985994759457767
0.1,1e-01,rho_C,jacobi,n,256
0.1,1e-01,rho_C,jacobi,mean,0.6883113910510895
0.1,1e-01,rho_C,jacobi,median,0.6710509205204933
0.1,1e-01,rho_C,jacobi,std,0.15581811503189552
0.1,1e-01,rho_C,jacobi,p95,0.92083744677995
0.1,1e-01,rho_C,jacobi,max,0.954734895095154
0.1,1e-01,rho_C,jacobi,frac_gt_1,0.0
0.1,1e-01,rho_C,jacobi,mean_energy,0.49795701506585666
0.1,1e-01,rho_C,gs,n,256
0.1,1e-01,rho_C,gs,mean,0.5475702135315543
0.1,1e-01,rho_C,gs,median,0.49790665365465914
0.1,1e-01,rho_C,gs,std,0.1505828855315283
0.1,1e-01,rho_C,gs,p95,0.8082044327263304
0.1,1e-01,rho_C,gs,max,0.8856306646536107
0.1,1e-01,rho_C,gs,frac_gt_1,0.0
0.1,1e-01,rho_C,gs,mean_energy,0.3224197691408411
0.1,1e-01,rho_C,sgs_ssor,n,256
0.1,1e-01,rho_C,sgs_ssor,mean,0.3761302340684285
0.1,1e-01,rho_C,sgs_ssor,median,0.32684569320074786
0.1,1e-01,rho_C,sgs_ssor,std,0.16849678279016952
0.1,1e-01,rho_C,sgs_ssor,p95,0.6941983891075885
0.1,1e-01,rho_C,sgs_ssor,max,0.8065862399861233
0.1,1e-01,rho_C,sgs_ssor,frac_gt_1,0.0
0.1,1e-01,rho_C,sgs_ssor,mean_energy,0.16975421579956057
0.1,1e-01,rho_C,deeponet_plain,n,256
0.1,1e-01,rho_C,deeponet_plain,mean,1.009521581162008
0.1,1e-01,rho_C,deeponet_plain,median,1.008743618789334
0.1,1e-01,rho_C,deeponet_plain,std,0.006917448865029485
0.1,1e-01,rho_C,deeponet_plain,p95,1.0203714088436273
0.1,1e-01,rho_C,deeponet_plain,max,1.0546420382085995
0.1,1e-01,rho_C,deeponet_plain,frac_gt_1,0.9765625
0.1,1e-01,rho_C,deeponet_plain,mean_energy,1.0191814870122862
0.1,1e-01,rho_C,deeponet_skip,n,256
0.1,1e-01,rho_C,deeponet_skip,mean,0.672280828518244
0.1,1e-01,rho_C,deeponet_skip,median,0.652002660685411
0.1,1e-01,rho_C,deeponet_skip,std,0.16724365594908824
