epsilon,anisotropy,block,family,method,ratio_kind,statistic,value
1.0,1.0,classical_families,gaussian,jacobi,full,n,24
1.0,1.0,classical_families,gaussian,jacobi,full,mean,0.392720298962795
1.0,1.0,classical_families,gaussian,jacobi,full,median,0.38990408743625105
1.0,1.0,classical_families,gaussian,jacobi,full,p95,0.40843403366983566
1.0,1.0,classical_families,gaussian,jacobi,full,p99,0.4140230049273418
1.0,1.0,classical_families,gaussian,jacobi,full,worst,0.4155483772501357
1.0,1.0,classical_families,gaussian,jacobi,full,best,0.3725803943371253
1.0,1.0,classical_families,gaussian,jacobi,full,frac_above_1,0.0
1.0,1.0,classical_families,gaussian,jacobi,full,mean_squared_ratio,0.15434942703731713
1.0,1.0,classical_families,gaussian,jacobi,complement,n,24
1.0,1.0,classical_families,gaussian,jacobi,complement,mean,0.36262052515706555
1.0,1.0,classical_families,gaussian,jacobi,complement,median,0.36172813789273217
1.0,1.0,classical_families,gaussian,jacobi,complement,p95,0.38067957052599277
1.0,1.0,classical_families,gaussian,jacobi,complement,p99,0.38266263463575795
1.0,1.0,classical_families,gaussian,jacobi,complement,worst,0.38319704277144445
1.0,1.0,classical_families,gaussian,jacobi,complement,best,0.3423756776520938
1.0,1.0,classical_families,gaussian,jacobi,complement,frac_above_1,0.0
1.0,1.0,classical_families,gaussian,jacobi,complement,mean_squared_ratio,0.13161904735535754
1.0,1.0,classical_families,gaussian,gs,full,n,24
1.0,1.0,classical_families,gaussian,gs,full,mean,0.3344363710958824
1.0,1.0,classical_families,gaussian,gs,full,median,0.3332582300830744
1.0,1.0,classical_families,gaussian,gs,full,p95,0.34804003691786206
1.0,1.0,classical_families,gaussian,gs,full,p99,0.35010414745737484
1.0,1.0,classical_families,gaussian,gs,full,worst,0.3506359336749526
1.0,1.0,classical_families,gaussian,gs,full,best,0.31817792400963074
1.0,1.0,classical_families,gaussian,gs,full,frac_above_1,0.0
1.0,1.0,classical_families,gaussian,gs,full,mean_squared_ratio,0.11191938286682207
1.0,1.0,classical_families,gaussian,gs,complement,n,24
1.0,1.0,classical_families,gaussian,gs,complement,mean,0.27339077802908157
1.0,1.0,classical_families,gaussian,gs,complement,median,0.2732125017526844
1.0,1.0,classical_families,gaussian,gs,complement,p95,0.2856677636472683
1.0,1.0,classical_families,gaussian,gs,complement,p99,0.2914339753867358
1.0,1.0,classical_families,gaussian,gs,complement,worst,0.293039222596678
1.0,1.0,classical_families,gaussian,gs,complement,best,0.2555090753028003
1.0,1.0,classical_families,gaussian,gs,complement,frac_above_1,0.0
1.0,1.0,classical_families,gaussian,gs,complement,mean_squared_ratio,0.07481797386086762
1.0,1.0,classical_families,gaussian,sgs_ssor,full,n,24
1.0,1.0,classical_families,gaussian,sgs_ssor,full,mean,0.16342085770517048
1.0,1.0,classical_families,gaussian,sgs_ssor,full,median,0.16244452273312981
1.0,1.0,classical_families,gaussian,sgs_ssor,full,p95,0.17380661107585996
1.0,1.0,classical_families,gaussian,sgs_ssor,full,p99,0.17423144190096976
1.0,1.0,classical_families,gaussian,sgs_ssor,full,worst,0.17427611954555824
1.0,1.0,classical_families,gaussian,sgs_ssor,full,best,0.15100508882162952
1.0,1.0,classical_families,gaussian,sgs_ssor,full,frac_above_1,0.0
1.0,1.0,classical_families,gaussian,sgs_ssor,full,mean_squared_ratio,0.026749204040436094
1.0,1.0,classical_families,gaussian,sgs_ssor,complement,n,24
1.0,1.0,classical_families,gaussian,sgs_ssor,complement,mean,0.1450429892036973
1.0,1.0,classical_families,gaussian,sgs_ssor,complement,median,0.14518921029985318
1.0,1.0,classical_families,gaussian,sgs_ssor,complement,p95,0.1542889351552021
1.0,1.0,classical_families,gaussian,sgs_ssor,complement,p99,0.15556563449893684
1.0,1.0,classical_families,gaussian,sgs_ssor,complement,worst,0.1558534119184009
1.0,1.0,classical_families,gaussian,sgs_ssor,complement,best,0.13256472406814265
1.0,1.0,classical_families,gaussian,sgs_ssor,complement,frac_above_1,0.0
1.0,1.0,classical_families,gaussian,sgs_ssor,complement,mean_squared_ratio,0.021069492266323268
1.0,1.0,classical_families,fourier,jacobi,full,n,24
1.0,1.0,classical_families,fourier,jacobi,full,mean,0.37910130158836375
1.0,1.0,classical_families,fourier,jacobi,full,median,0.4131013094103214
1.0,1.0,classical_families,fourier,jacobi,full,p95,0.4754196082424357
1.0,1.0,classical_families,fourier,jacobi,full,p99,0.4858133725485775
1.0,1.0,classical_families,fourier,jacobi,full,worst,0.4879470382782305
1.0,1.0,classical_families,fourier,jacobi,full,best,0.20432604035792182
1.0,1.0,classical_families,fourier,jacobi,full,frac_above_1,0.0
1.0,1.0,classical_families,fourier,jacobi,full,mean_squared_ratio,0.1499092753166168
1.0,1.0,classical_families,fourier,jacobi,complement,n,24
1.0,1.0,classical_families,fourier,jacobi,complement,mean,0.3495098620662957
1.0,1.0,classical_families,fourier,jacobi,complement,median,0.3701385947989162
1.0,1.0,classical_families,fourier,jacobi,complement,p95,0.4580509166955465
1.0,1.0,classical_families,fourier,jacobi,complement,p99,0.466851025191546
1.0,1.0,classical_families,fourier,jacobi,complement,worst,0.4690319358514665
1.0,1.0,classical_families,fourier,jacobi,complement,best,0.16406575572537493
1.0,1.0,classical_families,fourier,jacobi,complement,frac_above_1,0.0
1.0,1.0,classical_families,fourier,jacobi,complement,mean_squared_ratio,0.1301054838554507
